Kode Produk,Tanggal,Jumlah,Lag_1,Lag_2,Lag_3,Lag_4,Rolling_Mean_2,Rolling_Mean_4,Rolling_Std_4,Bulan,Pekan_Ke,Rata_Historis_SKU,Is_Ramadan
ASF-01,2025-04-29,1.0,2.5,0.0,0.0,2.5,1.5,1.5,1.633974596215563,4,18,1.5,0
ASF-01,2025-05-06,0.0,1.0,2.5,0.0,0.0,2.0,1.0,1.4142135623730951,5,19,1.4,0
ASF-01,2025-05-13,0.0,0.0,1.0,2.5,0.0,0.5,1.0,1.4142135623730951,5,20,1.1666666666666667,0
ASF-01,2025-05-20,0.0,0.0,0.0,1.0,2.5,0.0,1.0,1.4142135623730951,5,21,1.0,0
ASF-01,2025-05-27,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.5000000000000001,5,22,0.875,0
ASF-01,2025-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,23,0.7777777777777778,0
ASF-01,2025-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24,0.7,0
ASF-01,2025-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,25,0.6363636363636364,0
ASF-01,2025-06-24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,26,0.5833333333333334,0
ASF-01,2025-07-01,0.0,2.0,0.0,0.0,0.0,1.0,0.5,1.0,7,27,0.6923076923076923,0
ASF-01,2025-07-08,1.0,0.0,2.0,0.0,0.0,1.0,0.5,1.0,7,28,0.6428571428571429,0
ASF-01,2025-07-15,1.0,1.0,0.0,2.0,0.0,0.5,0.75,0.9574271077563381,7,29,0.6666666666666666,0
ASF-01,2025-07-22,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.816496580927726,7,30,0.6875,0
ASF-01,2025-07-29,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5773502691896257,7,31,0.6470588235294118,0
ASF-01,2025-08-05,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5773502691896257,8,32,0.6111111111111112,0
ASF-01,2025-08-12,2.0,0.0,0.0,0.0,1.0,0.0,0.25,0.5,8,33,0.5789473684210527,0
ASF-01,2025-08-19,0.0,2.0,0.0,0.0,0.0,1.0,0.5,1.0,8,34,0.65,0
ASF-01,2025-08-26,0.0,0.0,2.0,0.0,0.0,1.0,0.5,1.0,8,35,0.6190476190476191,0
ASF-01,2025-09-02,1.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,9,36,0.5909090909090909,0
ASF-01,2025-09-09,1.0,1.0,0.0,0.0,2.0,0.5,0.75,0.9574271077563381,9,37,0.6086956521739131,0
ASF-01,2025-09-16,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5773502691896257,9,38,0.625,0
ASF-01,2025-09-23,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5773502691896257,9,39,0.6,0
ASF-01,2025-09-30,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5773502691896257,9,40,0.5769230769230769,0
ASF-01,2025-10-07,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5773502691896257,10,41,0.5925925925925926,0
