Kode Produk,Minggu_Aktif,Total_Minggu,Threshold,Kategori,Nama Produk
OB-DEX,44,57,17,Fast-Moving,DEXTAF
ASF-0115,25,57,17,Fast-Moving,KONIDIN TABLET
OB-SALSULINJ,1,57,17,Slow-Moving,SALBUTAMOL SULFATE INJEKSI
OB-DEXPLU,52,57,17,Fast-Moving,DEXTEEM PLUS
ASF-0113,28,57,17,Fast-Moving,BODREX EXTRA
ASF-0434,29,57,17,Fast-Moving,CETRIZINE HCI HOLI
OB-ANDPILKB,46,57,17,Fast-Moving,ANDALAN PIL KB BIRU/LEMPENG
ASF-0108,22,57,17,Fast-Moving,BODREX FLU & BATUK TIDAK BERDAHAK PE TAB
OB-AMOTRITAB500,40,57,17,Fast-Moving,AMOXICILLIN TRIHYDRATE OGB DEXA
OB-MIX,49,57,17,Fast-Moving,MIXALGIN
OB-MEX,50,57,17,Fast-Moving,MEXON
ASF-0450,19,57,17,Fast-Moving,PRORIS IBU PROFEN SYR
ASF-0377,15,57,17,Slow-Moving,OBH COMBI BATUK BERDAHAK MENTHOL 100ML
OB-NOVTAB1,28,57,17,Fast-Moving,NOVASTAN TAB
OB-ERP1,43,57,17,Fast-Moving,ERPHAFLAM
OB-RHE,36,57,17,Fast-Moving,RHEMAFAR 4MG
OB-METPRE4MGOGB,2,57,17,Slow-Moving,METHYL PREDNISOLONE 4MG (OGBDEXA)
ASF-0456,20,57,17,Fast-Moving,GRANTUSIF
OB-SANTAB,27,57,17,Fast-Moving,SANMOL TABLET
OB-HUFBATSYR60MHIJ,19,57,17,Fast-Moving,HUFAGRIPP BP KERING ANAK
OB-ANASYR,14,57,17,Slow-Moving,ANATON SYR
OB-LOX15X,3,57,17,Slow-Moving,LOXICOX 15MG
OB-COLSYR,6,57,17,Slow-Moving,COLFIN SYR
ASF-0433,43,57,17,Fast-Moving,LERZIN TABLET
OB-WIR20,48,57,17,Fast-Moving,WIROS 20
ASF-0435,42,57,17,Fast-Moving,MANTINO TABLET
OB-PARTABERI,12,57,17,Slow-Moving,PARACETAMOL TAB ERRITA
ASF-0230,29,57,17,Fast-Moving,PROMAG TABLET
ASF-0430,48,57,17,Fast-Moving,ALLERON TABLET
OB-ZORTAB,51,57,17,Fast-Moving,ZORALIN TAB
OB-POLPLU,23,57,17,Fast-Moving,POLOFAR PLUS
OB-DEX075,41,57,17,Fast-Moving,"DEXAHARSEN 0,75MG"
OB-RANHCL150GENHJ,24,57,17,Fast-Moving,RANITIDINE 150MG HJ
OB-ALL100FAR,7,57,17,Slow-Moving,ALLOPURINOL 100MG IMFARMIND
OB-YUSTAB500,41,57,17,Fast-Moving,YUSIMOX TAB 500MG
OB-ELT,24,57,17,Fast-Moving,ELTAZON
OB-COSTAB,46,57,17,Fast-Moving,COSTAN TAB
ASF-0199,38,57,17,Fast-Moving,COMBANTRIN TABLET
OB-FASTAB,36,57,17,Fast-Moving,FASIDOL TABLET
ASF-0157,19,57,17,Fast-Moving,COMBANTRIN SYR
OB-SIM10MHEXJAY,7,57,17,Slow-Moving,SIMVASTATIN 10MG (HEXPHRM JAYA)
OB-KAL,3,57,17,Slow-Moving,KALDIFEN
ASF-0417,24,57,17,Fast-Moving,ANFLAT TABLET
ASF-065,26,57,17,Fast-Moving,DIAPET NR
OB-ALL100BERFAR,3,57,17,Slow-Moving,ALLOPURINOL 100MG BERNO FARM
OB-CAR05,55,57,17,Fast-Moving,"CARBIDU 0,5"
OB-PIR20MNOV,3,57,17,Slow-Moving,PIROXICAM 20MG (NOVAPHARIN)
OB-MOL05,48,57,17,Fast-Moving,"MOLACORT 0,5"
ASF-0198,46,57,17,Fast-Moving,BODREX BESAR
OB-PRO4MG,28,57,17,Fast-Moving,PRONICY 4MG
OB-ANFSYR100,16,57,17,Slow-Moving,ANFLAT SYR
OB-FASSYR60M,9,57,17,Slow-Moving,FASGO SYR 60ML
ASF-0118,38,57,17,Fast-Moving,ANTIMO
OB-FAR400,35,57,17,Fast-Moving,FARSIFEN 400MG TAB
OB-LOKTAB,34,57,17,Fast-Moving,LOKEV TAB
ASF-027,5,57,17,Slow-Moving,ANTIMO ANAK RASA STRAWBERRY
OB-SIM10M,49,57,17,Fast-Moving,SIMVASTATIN 10MG TAB
ASF-0437,36,57,17,Fast-Moving,DEGIROL
ASF-0312,1,57,17,Slow-Moving,FIESTA (STRAWBERRY)
ASF-0109,35,57,17,Fast-Moving,BODREX MIGRA
OB-CANALE8MG,11,57,17,Slow-Moving,CANDESARTAN ALEXETIL 8MG
OB-AMP10M,4,57,17,Slow-Moving,AMLODIPINE 10MG NOVEL
OB-CAR075,34,57,17,Fast-Moving,"CARBIDU 0,75"
OB-NAC,29,57,17,Fast-Moving,NACL
ASF-0158,16,57,17,Slow-Moving,KAPSIDA [KEMBANG BULAN]
OB-BUF,48,57,17,Fast-Moving,BUFACARYL
OB-METHCL500,50,57,17,Fast-Moving,METFORMIN HCL 500MG HJ
OB-HUFSYR1,6,57,17,Slow-Moving,HUFARIZINE SYR
OB-ONDHCLDIH,6,57,17,Slow-Moving,ONDANSETRON 4MG INJEKSI BERNOFARM/AMPUL
OB-KETTROINJ,9,57,17,Slow-Moving,KETOROLAC TROMETAMOL INJEKSI
ASF-020,5,57,17,Slow-Moving,KOMIX KIDS OBH
ASF-0197,35,57,17,Fast-Moving,BODREXIN TABLET
ASF-092,45,57,17,Fast-Moving,PARAMEX SAKIT KEPALA
ASF-0107,34,57,17,Fast-Moving,BODREX FLU & BATUK BERDAHAK PE TAB
OB-TEO,48,57,17,Fast-Moving,TEOSAL
ASF-0370,5,57,17,Slow-Moving,WOODS PEPPERMINT EXPECTORANT 60ML
OB-AMBHYDTAB30M,37,57,17,Fast-Moving,AMBROXOL TRIFA
ASF-01,26,57,17,Fast-Moving,AFOLAT
OB-ALL300IMF,11,57,17,Slow-Moving,ALLOPURINOL 300MG IMFARMIND
OB-SUP,53,57,17,Fast-Moving,SUPERTETRA
ASF-0116,31,57,17,Fast-Moving,CONTREXYN TABLET
ASF-0414,31,57,17,Fast-Moving,POLYSILANE TABLET
ASF-095,31,57,17,Fast-Moving,MIXAGRIP FLU&BATUK
OB-KETTABGEN,10,57,17,Slow-Moving,KETOCONAZOLE TAB OGB DEXA
OB-NEOFOR,13,57,17,Slow-Moving,NEOZEP FORTE
OB-FAR200TAB,16,57,17,Slow-Moving,FARSIFEN 200 TAB
ASF-0420,22,57,17,Fast-Moving,ANTASIDA DOEN TABLET ERRITA
ASF-0110,36,57,17,Fast-Moving,OSKADON SAKIT KEPALA
OB-HUFFORTAB,39,57,17,Fast-Moving,HUFAGRIPP FORTE TABLET
ASF-0206,22,57,17,Fast-Moving,KEJIBELING KAPSUL
ASF-0174,7,57,17,Slow-Moving,ASEPSO+
ASF-0201,8,57,17,Slow-Moving,BINTANG TOEDJOE (SAKIT KEPALA) NO.16
OB-PIR20M,18,57,17,Fast-Moving,PIROXICAM 20MG (FIRS MEDIPHARMA)
OB-NEURX,32,57,17,Fast-Moving,NEURALGIN RX
OB-ERLTETTEL,16,57,17,Slow-Moving,ERLAMYCETIN TETES TELINGA
OB-LAC,39,57,17,Fast-Moving,LACTO-B
ASF-0446,10,57,17,Slow-Moving,LECOZINC SIRUP
ASF-036,13,57,17,Slow-Moving,HEROCYN 150 g
OB-PARSYR,13,57,17,Slow-Moving,PARAFLU SYR
OB-NEOVED,1,57,17,Slow-Moving,NEO VEDRIN
OB-CIPHCIMON,18,57,17,Fast-Moving,CIPROFLOXACIN HCI BERNOFARM
OB-ANAFORTAB,49,57,17,Fast-Moving,ANASTAN FORTE TABLET
OB-ALPTAB,49,57,17,Fast-Moving,ALPARA TABLET
OB-MUCDROSYR,17,57,17,Fast-Moving,MUCOS DROP
OB-PARTAB,34,57,17,Fast-Moving,PARATUSIN TAB
OB-MIRFOR,34,57,17,Fast-Moving,MIRASIC FORTE
OB-LERDROSYR,4,57,17,Slow-Moving,LERZIN DROP SYR
ASF-0416,15,57,17,Slow-Moving,LAMBUCID TABLET
OB-ERLTAB,15,57,17,Slow-Moving,ERLAGIN TABLET
OB-METPRE4MGQUALAB,7,57,17,Slow-Moving,METHYL PREDNISOLONE 4MG (QUANTUM LABORATORIS)
OB-ONDTAB4MGINT,7,57,17,Slow-Moving,ONDANSETRON 4MG TAB INTERBAT
ASF-0449,11,57,17,Slow-Moving,PASABA COUGH AND FLU
OB-REN,45,57,17,Fast-Moving,RENADINAC
ASF-0203,35,57,17,Fast-Moving,AMBEVEN
ASF-094,36,57,17,Fast-Moving,ENERVON-C
OB-FLUSYR,10,57,17,Slow-Moving,FLUTAMOL SYR
OB-TABTAMDAR,26,57,17,Fast-Moving,TABLET TAMBAH DARAH
OB-NEUTAB,16,57,17,Slow-Moving,NEURODEX TABLET
OB-RHISR,18,57,17,Fast-Moving,RHINOS SR
OB-SANDRO,29,57,17,Fast-Moving,SANMOL DROPS
OB-HUFSYR,9,57,17,Slow-Moving,HUFABETAMIN SYR
OB-DEMTAB,30,57,17,Fast-Moving,DEMACOLIN TAB
OB-FLUTAB1,21,57,17,Fast-Moving,FLUTAMOL TABLET
ASF-0375,4,57,17,Slow-Moving,OBH COMBI BATUK BERDAHAK JAHE 100ML
OB-VOL,43,57,17,Fast-Moving,VOLTADEX
ASF-0455,42,57,17,Fast-Moving,ACETYLCYSTEINE
OB-TEMDRO,12,57,17,Slow-Moving,TEMPRA DROPS 0-2 TAHUN ANGGUR
ASF-0422,1,57,17,Slow-Moving,MAGTERAL TABLET
OB-RENTAB,43,57,17,Fast-Moving,RENABETIK TAB
OB-PARSYR1,8,57,17,Slow-Moving,PARATUSIN SYR
ASF-0419,45,57,17,Fast-Moving,HUFAMAG PLUS TABLET
ASF-0432,39,57,17,Fast-Moving,HUFARIZINE TAB
ASF-0164,11,57,17,Slow-Moving,ETAWALIN
OB-AMLBES300,41,57,17,Fast-Moving,AMLODHIPIN 5MG SAMPHARINDO
ASF-0373,7,57,17,Slow-Moving,COREDRYL EKSPEKTORAN SYR
ASF-028,8,57,17,Slow-Moving,CALCIUM LACTATE PIM PHARMA
OB-GRA2MG,31,57,17,Fast-Moving,GRAFALIN 2MG
ASF-060,4,57,17,Slow-Moving,VEGETA HERBAL [anggur merah]
OB-PIZSAL,8,57,17,Slow-Moving,PIZOLON SALEP
OB-FLU,36,57,17,Fast-Moving,FLUCADEX TABLET
OB-OMETABETA,3,57,17,Slow-Moving,OMEPRAZOLE TAB (ETA)
ASF-0444,14,57,17,Slow-Moving,VICKS VAPORUP 25GR
OB-MUCSYR,15,57,17,Slow-Moving,MUCOS SYR
OB-AXATAB,26,57,17,Fast-Moving,AXAPROFEN
OB-FASPLUTAB,25,57,17,Fast-Moving,FASIDOL PLUS TABLET
OB-DEC,14,57,17,Slow-Moving,DECOLGEN
OB-TRISUNKB3BUL,7,57,17,Slow-Moving,TRICLOFEM INJEKSI 3 BULAN
OB-ERLSYR1,10,57,17,Slow-Moving,ERLAPECT SYR
OB-SYNSAL1,20,57,17,Fast-Moving,SYNALTEN SALEP
ASF-0431,18,57,17,Fast-Moving,ORPHEN TABLET
OB-DOMGENERR,7,57,17,Slow-Moving,DOMPERIDONE TAB ERRITA
OB-COLTAB,12,57,17,Slow-Moving,COLFIN TAB
ASF-0367,8,57,17,Slow-Moving,SILADEX COUGH & COLD BIRU 60ML
OB-KETTRO,1,57,17,Slow-Moving,KETOROLAC TROMETAMOL TABLET
ASF019,1,57,17,Slow-Moving,TOLAK LINU/SACHET
ASF-0413,41,57,17,Fast-Moving,WINATIN TABLET
ASF-0459,17,57,17,Fast-Moving,INTUNAL-F TABLET
OB-TERF,50,57,17,Fast-Moving,TERA-F TABLET
ASF-0170,3,57,17,Slow-Moving,PEDITOX
OB-GLI1MG,15,57,17,Slow-Moving,GLIMEPIRIDE 1MG OGB DEXA
OB-MYLSYR50M,24,57,17,Fast-Moving,MYLANTA SYR 50ML
ASF-066,5,57,17,Slow-Moving,DIAPET ANAK
OB-HUFPLUSYR60M,15,57,17,Slow-Moving,HUFAMAG PLUS SYR 60ML
OB-TRAACI,10,57,17,Slow-Moving,TRANEXAMIC ACID
ASF-064,3,57,17,Slow-Moving,WAISAN
ASF-0105,8,57,17,Slow-Moving,ULTRAFLU PE
OB-NEUFOR,22,57,17,Fast-Moving,NEUROBION FORTE TAB MERAH
OB-COPTAB,21,57,17,Fast-Moving,COPARCETIN TABLET
OB-POS,16,57,17,Slow-Moving,POSTINOR
OB-RANINJ,8,57,17,Slow-Moving,RANITIDINE INJEKSI MEPRO/AMPUL
OB-ONDHYDDIH,2,57,17,Slow-Moving,ONDANSETRON 4MG INJEKSI INTERBAT/AMPUL
OB-SCOPLU,16,57,17,Slow-Moving,SCOPMA PLUS
