Kode Produk,MAE_XGBoost,MAE_MA4,RMSE_XGBoost,RMSE_MA4,Engine
ASF-01,1.5604,0.9375,1.7271,1.1614,MA-4
ASF-0106,1.8296,0.7083,1.9799,0.9298,MA-4
ASF-0107,2.0364,1.1042,2.1653,1.3938,MA-4
ASF-0108,1.8261,1.25,1.9872,1.6105,MA-4
ASF-0109,1.9072,0.7708,2.0596,0.9709,MA-4
ASF-0110,1.6374,1.4583,1.9427,1.723,MA-4
ASF-0112,1.874,0.6042,1.9395,0.6575,MA-4
ASF-0113,2.991,3.4167,3.4661,3.8851,XGBoost
ASF-0114,1.8854,1.875,2.2235,2.3071,MA-4
ASF-0115,2.1536,0.7917,2.296,1.1456,MA-4
ASF-0116,2.2326,0.7917,2.3271,1.0308,MA-4
ASF-0118,1.4657,1.2292,1.7182,1.4773,MA-4
ASF-0157,1.5501,0.5,1.7895,0.784,MA-4
ASF-0192,2.1758,0.9792,2.2635,1.4013,MA-4
ASF-0197,1.4244,1.0208,1.6834,1.2521,MA-4
ASF-0198,3.4307,3.9375,4.2181,4.7626,XGBoost
ASF-0199,1.5911,1.2292,1.8565,1.3559,MA-4
ASF-0203,1.6672,1.6875,1.9052,1.8998,XGBoost
ASF-0206,2.053,0.625,2.1463,0.7706,MA-4
ASF-0223,1.6299,1.3333,1.9894,1.6202,MA-4
ASF-0224,1.8884,1.625,2.1224,1.8286,MA-4
ASF-0225,1.9617,0.75,2.1002,1.0704,MA-4
ASF-0230,2.0542,2.3542,2.4384,2.5729,XGBoost
ASF-0364,2.043,0.5625,2.1364,0.6808,MA-4
ASF-0413,2.326,0.7292,2.4144,0.7739,MA-4
ASF-0414,1.7383,0.9792,1.9581,1.2809,MA-4
ASF-0415,1.9839,0.6875,2.0704,0.9816,MA-4
ASF-0417,1.836,0.4792,1.9383,0.5818,MA-4
ASF-0419,1.8337,2.2708,2.2962,2.478,XGBoost
ASF-0420,2.7834,0.0,2.7834,0.0,MA-4
ASF-0421,1.7661,0.9167,1.8698,1.25,MA-4
ASF-0430,2.1287,1.2083,2.3375,1.6298,MA-4
ASF-0431,2.1279,0.3958,2.1716,0.5637,MA-4
ASF-0432,2.408,1.3958,2.668,1.5292,MA-4
ASF-0433,2.8137,3.1667,3.1108,3.5134,XGBoost
ASF-0434,5.0974,4.1458,6.2269,5.127,MA-4
ASF-0435,1.8004,1.3125,1.9818,1.6786,MA-4
ASF-0437,1.4162,0.875,1.6384,1.0458,MA-4
ASF-0448,1.1736,1.0729,1.399,1.2722,MA-4
ASF-0450,1.9573,0.4792,2.0185,0.5052,MA-4
ASF-0454,2.1918,0.5729,2.2342,0.8077,MA-4
ASF-0455,2.2505,0.7708,2.3763,0.863,MA-4
ASF-0456,2.043,0.375,2.1364,0.6614,MA-4
ASF-0459,1.8187,0.7708,1.9581,0.9816,MA-4
ASF-065,2.1697,0.5417,2.2625,0.7071,MA-4
ASF-092,2.9254,2.0625,3.3961,3.5466,MA-4
ASF-093,1.7601,1.25,1.8821,1.6863,MA-4
ASF-094,1.9986,1.2292,2.1815,1.4488,MA-4
ASF-095,2.2725,0.7083,2.3142,1.0052,MA-4
OB-ACY5MGSALGEN,2.1324,0.4167,2.1759,0.4895,MA-4
OB-ALLCOMTETMAT,1.7961,0.7708,1.9517,0.863,MA-4
OB-ALO100,10.4637,11.4583,13.2476,15.7288,XGBoost
OB-ALO300,10.1245,10.8333,14.5986,15.8771,XGBoost
OB-ALPTAB,1.3019,0.7708,1.5176,1.111,MA-4
OB-AMBHYDTAB30M,7.4334,2.2917,8.1205,3.8864,MA-4
OB-AML10MSAM,9.4744,0.0,9.6262,0.0,MA-4
OB-AML10MTRI,2.7326,3.4167,3.842,3.8649,XGBoost
OB-AMLBES300,12.3141,5.2083,12.6273,11.3422,MA-4
OB-AMOTRITAB500,15.1414,12.2917,16.6025,25.5665,MA-4
OB-ANAFORTAB,14.4055,16.0417,19.8035,21.973,XGBoost
OB-ANAKAP,1.5836,1.0208,1.8147,1.1296,MA-4
OB-ANATAB,3.0612,2.0625,3.3026,2.9939,MA-4
OB-ANDKBINJ3BUL1ML,2.1379,1.9167,2.4139,2.3363,MA-4
