Kode Produk,Nama Produk,Kategori,Engine,Prediksi,Safety Stock,ROP,Stok Aktual,Level Stok,Order Qty,Status
ASF-01,AFOLAT,Fast-Moving,XGBoost,0.93,1.48,2.41,1.0,41.49377593360995,1.41,🔴 PERLU ORDER
ASF-0106,PARAMEX NYERI OTOT,Fast-Moving,XGBoost,0.89,1.35,2.24,24.0,100.0,0.0,🟢 AMAN
ASF-0107,BODREX FLU & BATUK BERDAHAK PE TAB,Fast-Moving,XGBoost,1.0,2.14,3.14,19.0,100.0,0.0,🟢 AMAN
ASF-0108,BODREX FLU & BATUK TIDAK BERDAHAK PE TAB,Fast-Moving,XGBoost,0.89,1.6,2.49,28.0,100.0,0.0,🟢 AMAN
ASF-0109,BODREX MIGRA,Fast-Moving,XGBoost,1.07,1.5,2.57,25.0,100.0,0.0,🟢 AMAN
ASF-0110,OSKADON SAKIT KEPALA,Fast-Moving,XGBoost,1.08,2.72,3.8,31.0,100.0,0.0,🟢 AMAN
ASF-0112,BODREX FLU,Fast-Moving,XGBoost,0.89,1.03,1.92,19.0,100.0,0.0,🟢 AMAN
ASF-0113,BODREX EXTRA,Fast-Moving,XGBoost,2.09,5.31,7.4,0.0,0.0,7.4,🔴 PERLU ORDER
ASF-0114,OSKADON SP,Fast-Moving,XGBoost,2.47,3.45,5.92,2.0,33.78378378378378,3.92,🔴 PERLU ORDER
ASF-0115,KONIDIN TABLET,Fast-Moving,XGBoost,0.94,1.6,2.54,2.0,78.74015748031495,0.54,🔴 PERLU ORDER
ASF-0116,CONTREXYN TABLET,Fast-Moving,XGBoost,1.13,1.69,2.82,18.0,100.0,0.0,🟢 AMAN
ASF-0118,ANTIMO,Fast-Moving,XGBoost,1.07,2.31,3.38,10.0,100.0,0.0,🟢 AMAN
ASF-0157,COMBANTRIN SYR,Fast-Moving,XGBoost,0.9,1.46,2.36,0.0,0.0,2.36,🔴 PERLU ORDER
ASF-0192,NEO NAPACIN,Fast-Moving,XGBoost,0.89,1.59,2.48,52.0,100.0,0.0,🟢 AMAN
ASF-0197,BODREXIN TABLET,Fast-Moving,XGBoost,0.9,1.85,2.75,0.0,0.0,2.75,🔴 PERLU ORDER
ASF-0198,BODREX BESAR,Fast-Moving,XGBoost,2.41,7.09,9.5,9.0,94.73684210526315,0.5,🔴 PERLU ORDER
ASF-0199,COMBANTRIN TABLET,Fast-Moving,XGBoost,0.95,1.94,2.89,49.0,100.0,0.0,🟢 AMAN
ASF-0203,AMBEVEN,Fast-Moving,XGBoost,1.21,3.17,4.38,1.0,22.831050228310502,3.38,🔴 PERLU ORDER
